"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2004-04-23,"2004w16",32.1,0.633,50.74,43.4,0,7.5,7.9,59.6,67.5,67.5,18.7,18.2204479321787,48.6,0,12.7,54.7,59.8,114.5,114.5,13.9,13.7491001589275,59.6
2004-04-30,"2004w17",32.65,0.626,52.16,45.8,0,7.3,7.7,58.3,66,66,15.9,18.2242482781189,52.2,0,12.6,54.5,58.5,113,113,11.8,13.730979288947,58.3
2004-05-07,"2004w18",33.38,0.63,52.94,47.8,0,7.8,8.2,62.2,70.3,70.3,18.8,18.2280486240591,53.3,0,13,55,62.3,117.3,117.3,13.8,13.7128584189665,62.1
2004-05-14,"2004w19",34.41,0.609,56.55,48.1,0,8.3,8.7,66.2,74.9,74.9,20.5,18.2318489699993,56.4,0,13.5,55.5,66.4,121.9,121.9,14.2,13.694737548986,66.2
2004-05-21,"2004w20",35.77,0.602,59.4,46.5,0,8.3,8.6,65.7,74.3,74.3,17.9,18.2356493159395,54.3,0,13.5,55.4,65.9,121.3,121.3,12.6,13.6766166790054,65.7
2004-05-28,"2004w21",35.03,0.618,56.68,45.7,0,8.5,8.9,68,76.9,76.9,19.9,18.2394496618798,53.7,0,13.8,55.7,68.2,123.9,123.9,11.8,13.6584958090249,68
2004-06-04,"2004w22",35.22,0.628,56.13,44.3,0,8.5,8.9,67.7,76.6,76.6,21.3,18.24325000782,49.4,0,13.7,55.7,67.9,123.6,123.6,13.6,13.6403749390444,67.7
2004-06-11,"2004w23",33.52,0.629,53.3,44.5,0,8.2,8.5,65.1,73.6,73.6,19.4,18.2470503537602,48.2,0,13.4,55.4,65.2,120.6,120.6,11.5,13.6222540690639,65.1
2004-06-18,"2004w24",33.31,0.627,53.12,44.5,0,8,8.3,63.3,71.6,71.6,19,18.2508506997004,47.7,0,13.2,55.1,63.5,118.6,118.6,14.1,13.6041331990834,63.3
2004-06-25,"2004w25",33.66,0.63,53.45,43.2,0,7.8,8.1,61.8,69.9,69.9,17.3,18.2544980176025,44.6,0,13,55,61.9,116.9,116.9,13.7,13.5820608079316,61.8
2004-07-02,"2004w26",32.19,0.637,50.51,45.8,0,7.6,8,60.5,68.5,68.5,16.1,18.2581453355046,47.3,0,12.7,54.7,59.8,114.5,114.5,12.2,13.5599884167799,60.5
2004-07-09,"2004w27",34.41,0.652,52.78,45.8,0,7.7,8,61.1,69.2,69.2,17.9,18.2617926534068,48.3,0,12.5,54.5,58.4,112.9,112.9,13.8,13.5379160256282,61.2
2004-07-16,"2004w28",34.44,0.656,52.52,47.7,0,7.9,8.2,62.7,70.9,70.9,16.9,18.2654399713089,48.9,0,12.7,54.6,59.3,113.9,113.9,12,13.5158436344765,62.7
2004-07-23,"2004w29",34.72,0.65,53.44,51,0,8,8.3,63.4,71.8,71.8,17.6,18.269087289211,51.3,0,12.9,54.8,60.9,115.8,115.8,12.7,13.4937712433247,63.5
2004-07-30,"2004w30",35.24,0.632,55.75,51.5,0,8.3,8.6,66,74.6,74.6,18.2,18.2727346071131,53.1,0,13.1,55.1,63,118,118,14,13.471698852173,66
2004-08-06,"2004w31",37.04,0.642,57.74,51,0,8.6,9,68.6,77.6,77.6,17.6,18.2763819250152,53.2,0,13.4,55.4,65.2,120.6,120.6,14,13.4496264610213,68.6
2004-08-13,"2004w32",38.19,0.654,58.39,52,0,8.8,9.1,69.8,78.9,78.9,18.3,18.2800292429173,53.9,0,13.5,55.5,66.4,121.9,121.9,13.3,13.4275540698695,69.8
2004-08-20,"2004w33",39.81,0.666,59.77,52,0,8.8,9.1,69.8,78.9,78.9,18.8,18.2803770730352,52.8,0,13.5,55.5,66.4,121.9,121.9,13.2,13.4002441471146,69.8
2004-08-27,"2004w34",39.6,0.656,60.34,50.9,0,8.8,9.1,69.8,78.9,78.9,17.7,18.280724903153,50.1,0,13.5,55.5,66.4,121.9,121.9,12.5,13.3729342243596,69.8
2004-09-03,"2004w35",36.46,0.652,55.91,52.9,0,8.8,9.1,69.9,79,79,17.9,18.2810727332709,49.3,0,13.5,55.5,66.3,121.8,121.8,13.5,13.3456243016046,69.9
2004-09-10,"2004w36",34.96,0.65,53.79,53.3,0,8.7,9,68.9,77.9,77.9,18,18.2814205633887,49.9,0,13.3,55.3,64.6,119.9,119.9,14.6,13.3183143788496,68.9
2004-09-17,"2004w37",34.57,0.659,52.45,54.7,0,8.7,9,68.9,77.9,77.9,16,18.2817683935066,51.6,0,13.3,55.3,64.6,119.9,119.9,15.3,13.2910044560946,68.9
2004-09-24,"2004w38",35.28,0.663,53.21,55.1,0,8.7,9,69,78,78,15.7,18.2821162236244,52.7,0,13.3,55.3,64.7,120,120,14.8,13.2636945333396,69
2004-10-01,"2004w39",37.26,0.671,55.57,53.5,0,9.1,9.4,72.2,81.6,81.6,17.4,18.2824640537423,53.5,0,13.4,55.4,65.5,120.9,120.9,13.8,13.2363846105846,72.2
2004-10-08,"2004w40",37.8,0.673,56.14,57.3,0,9.1,9.5,72.4,81.9,81.9,17.3,18.2828118838601,55.4,0,13.4,55.4,65.5,120.9,120.9,12.8,13.2090746878296,72.4
2004-10-15,"2004w41",37.72,0.68,55.47,56.8,0,9.1,9.5,72.8,82.3,82.3,19.3,18.2779570795411,53.2,0,13.6,55.6,66.8,122.3,122.3,13.3,13.1769984115102,72.8
2004-10-22,"2004w42",37.54,0.688,54.58,55.9,0,9.4,9.7,74.7,84.5,84.5,17.5,18.2731022752221,53.6,0,13.9,55.9,69.2,125,125,13.8,13.1449221351907,74.8
2004-10-29,"2004w43",37.38,0.692,54.03,52.9,0,9.3,9.7,74.2,83.9,83.9,17.5,18.2682474709031,51.8,0,13.7,55.7,67.7,123.3,123.3,14.4,13.1128458588713,74.2
2004-11-05,"2004w44",36.66,0.688,53.31,53.3,0,9.3,9.7,74.2,83.9,83.9,18.3,18.2633926665841,51.3,0,13.5,55.5,66.4,121.9,121.9,12.8,13.0807695825518,74.2
2004-11-12,"2004w45",34.98,0.69,50.71,51.9,0,9.2,9.6,73.5,83,83,20.6,18.2585378622651,49,0,13.4,55.4,65.6,121,121,13.8,13.0486933062323,73.4
2004-11-19,"2004w46",32.97,0.701,47.01,53.1,0,9.1,9.4,72.2,81.6,81.6,18.8,18.2536830579461,50.4,0,13.3,55.3,64.4,119.6,119.6,13,13.0166170299129,72.2
2004-11-26,"2004w47",33.72,0.712,47.37,49.8,0,8.9,9.3,70.9,80.2,80.2,19,18.2488282536271,48.1,0,13.1,55.1,63.2,118.3,118.3,14.2,12.9845407535934,70.9
2004-12-03,"2004w48",35.46,0.716,49.53,45.2,0,9.1,9.4,72.2,81.6,81.6,19.1,18.2439734493081,42.3,0,13.4,55.4,65.2,120.6,120.6,14.9,12.9524644772739,72.2
2004-12-10,"2004w49",33.23,0.717,46.35,47.6,0,8.4,8.7,66.7,75.5,75.5,16.9,18.2383288929319,42.8,0,12.7,54.6,59.3,113.9,113.9,11.2,12.9180535006138,66.8
2004-12-17,"2004w50",33.94,0.71,47.81,48.2,0,8.1,8.5,64.4,72.9,72.9,19.3,18.2326843365558,43.1,0,12.2,54.2,55.7,109.9,109.9,13.4,12.8836425239537,64.4
2004-12-24,"2004w51",35.95,0.713,50.46,44.1,0,8.4,8.8,66.9,75.7,75.7,19.3,18.2270397801797,41.5,0,12.5,54.4,57.7,112.1,112.1,14.9,12.8492315472935,66.9
2004-12-31,"2004w52",33.38,0.718,46.51,46,0,8.5,8.8,67.4,76.2,76.2,19.2,18.2213952238036,42.5,0,12.5,54.5,58,112.5,112.5,14.9,12.8148205706334,67.4
2005-01-07,"2005w01",34.44,0.7,49.18,47.4,0,8.2,8.5,65,73.5,73.5,20.4,18.2157506674275,45,0,12.3,54.2,56.2,110.5,110.5,14.3,12.7804095939733,65
2005-01-14,"2005w02",37.01,0.699,52.94,47.7,0,8.5,8.9,67.7,76.6,76.6,21.8,18.2101061110513,48.4,0,12.6,54.6,59,113.6,113.6,16.5,12.7459986173131,67.7
2005-01-21,"2005w03",39.32,0.7,56.19,49.6,0,8.7,9,68.9,77.9,77.9,21.5,18.2044615546752,49.1,0,13,55,62.2,117.2,117.2,17.2,12.711587640653,68.9
2005-01-28,"2005w04",40.35,0.714,56.5,48.7,0,8.7,9,68.9,77.9,77.9,21.1,18.1988169982991,48.5,0,13.1,55.1,63.1,118.2,118.2,14.7,12.6771766639928,68.9
2005-02-04,"2005w05",38.79,0.711,54.53,49.1,0,8.7,9,68.9,77.9,77.9,19.3,18.164148360632,49.1,0,13.2,55.2,63.7,118.9,118.9,14.6,12.6348393720033,68.9
